time,Obs,Mean,F1-Mean,F2-Mean,F2-3DVAR-Mean,sfe11d,sfe12d,sfe13d,sfe31d,sfe32d,sfe33d,sfe41d,sfe42d,sfe43d,N1K1hi,N1K2hi,N2K1hi,N2K2hi,N3K1hi,N3K2hi,N1K1,N1K2,N2K1,N2K2,N3K1,N3K2,N1K1hiV,N1K2hiV,N2K1hiV,N2K2hiV,N3K1hiV,N3K2hiV,N1K1V,N1K2V,N2K1V,N2K2V,N3K1V,N3K2V
1993-11-15,-0.26869999999999905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-15,-0.2259999999999991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-01-15,0.16219999999999857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-02-15,-0.1907000000000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-03-15,0.2801000000000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-04-15,0.43170000000000286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-05-15,0.7767000000000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-06-15,0.7135999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-07-15,1.1693999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-08-15,1.6303000000000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-09-15,1.268099999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-10-15,2.081900000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-11-15,0.5795999999999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-15,0.11159999999999926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-01-15,-0.24029999999999774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-02-15,0.2791999999999959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-03-15,0.13569999999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-04-15,0.007500000000000284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-05-15,-0.12139999999999773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-06-15,-0.005100000000002325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-07-15,-0.3045000000000009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-08-15,-0.24899999999999523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-15,-0.11560000000000059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-10-15,-0.2594999999999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-11-15,-0.42220000000000013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
